,Unnamed: 0,Ticker,Category,Api key,Entry reasons,Exit reasons,Description,Conclusion,Entry time,Leverage,MFE,MAE,Avg. entry price,Exit time,Avg. exit price,Duration,Side,Percent,Net profit (%),Funding,PNL,Cumulative PNL,QTY,Peak qty,Volume,Commission,Month
33,33,IMXUSDT,,Api-hs1,,,,,2024-07-12 00:40:06,0.00975286,0.0,0.0,2.9224,2024-07-12 00:40:53,2.9151,0 days 00:00:47,SHORT,0.25,0.0,0.0,3.70000000000001,282.9,700.0,700.0,4086.25,0.01430953,2024-07
34,34,IMXUSDT,,Api-hs1,,,,,2024-07-12 00:43:03,0.00980703,0.4487,-0.7593,2.93868571,2024-07-12 00:45:15,2.9314,0 days 00:02:12,SHORT,0.25,0.0,0.0,3.70000000000001,286.6,700.0,700.0,4109.059997,0.01438936,2024-07
35,35,INJUSDT,,Api-hs1,,,,,2024-07-12 02:35:04,0.00990393,0.2513,-1.0802,34.624,2024-07-12 03:26:55,34.711,0 days 00:51:51,LONG,0.25,0.0,0.0,3.79999999999999,290.4,60.0,60.0,4160.1,0.01455251,2024-07
36,36,BATUSDT,,Api-hs1,,,,,2024-07-12 06:17:03,0.02000568,0.2587,-3.536,0.2341769,2024-07-12 06:47:32,0.2336,0 days 00:30:29,SHORT,0.25,0.0,0.0,8.000000000000007,298.4,17920.0,17920.0,8382.562,0.0230612,2024-07
37,37,BATUSDT,,Api-hs1,,,,,2024-07-12 08:58:04,0.01000563,0.0,0.0,0.2377,2024-07-12 08:58:34,0.2371,0 days 00:00:30,SHORT,0.25,0.0,0.0,3.79999999999999,302.2,8830.0,8830.0,4192.484,0.01468163,2024-07
38,38,BCHUSDT,,Api-hs1,,,,,2024-07-12 09:10:03,0.01003174,0.0,0.0,273.3,2024-07-12 09:10:18,272.62,0 days 00:00:15,SHORT,0.25,0.0,0.0,3.79999999999999,306.0,7700.0,7700.0,4203.584,0.01472039,2024-07
39,39,BCHUSDT,,Api-hs1,,,,,2024-07-12 10:42:04,0.01000233,0.0,0.0,279.77,2024-07-12 10:42:39,279.07,0 days 00:00:35,SHORT,0.25,0.0,0.0,3.79999999999999,309.8,7500.0,7500.0,4191.299999999999,0.01467742,2024-07
40,40,OPUSDT,,Api-hs1,,,,,2024-07-12 14:59:04,0.00992233,0.8905,0.0185,3.7846,2024-07-12 15:00:24,3.7751,0 days 00:01:20,SHORT,0.25,0.0,0.0,3.79999999999999,313.6,550.0,550.0,4157.835,0.01456025,2024-07
41,41,BATUSDT,,Api-hs1,,,,,2024-07-12 15:13:04,0.0100037,0.4227,-1.0144,0.2366,2024-07-12 15:16:37,0.236,0 days 00:03:33,SHORT,0.25,0.0,0.0,3.900000000000005,317.5,8870.0,8870.0,4191.962,0.01467985,2024-07
42,42,INJUSDT,,Api-hs1,,,,,2024-07-12 17:28:04,0.01040326,0.0,0.0,36.375,2024-07-12 17:28:50,36.284,0 days 00:00:46,SHORT,0.25,0.0,0.0,3.89999999999997,321.4,60.0,60.0,4359.54,0.01526658,2024-07
43,43,BCHUSDT,,Api-hs1,,,,,2024-07-12 19:59:05,0.01000056,0.5216,0.1232,276.06,2024-07-12 20:00:30,276.75,0 days 00:01:25,LONG,0.25,0.0,0.0,3.800000000000025,325.2,7600.0,7600.0,4201.356,0.01469687,2024-07
44,44,IMXUSDT,,Api-hs1,,,,,2024-07-12 22:49:04,0.0349124,312.0,-8.8359,2.929816,2024-07-13 16:42:06,2.9371,0 days 17:53:02,LONG,0.25,0.01,-0.01302753,13.299999999999985,338.5,2500.0,2500.0,14667.29,0.03566125,2024-07
45,45,BATUSDT,,Api-hs1,,,,,2024-07-13 00:01:06,0.00999673,0.0,0.0,0.2419,2024-07-13 00:01:36,0.2413,0 days 00:00:30,SHORT,0.25,0.0,0.0,3.699999999999974,342.2,8670.0,8670.0,4189.344,0.0146705,2024-07
46,46,BATUSDT,,Api-hs1,,,,,2024-07-13 00:05:05,0.00999673,0.0,0.0,0.2453,2024-07-13 00:05:26,0.2447,0 days 00:00:21,SHORT,0.24,0.0,0.0,3.699999999999974,345.9,8550.0,8550.0,4189.5,0.01467094,2024-07
47,47,OPUSDT,,Api-hs1,,,,,2024-07-13 00:17:05,0.01006594,0.2678,-0.2943,3.7712,2024-07-13 00:20:54,3.7806,0 days 00:03:49,LONG,0.25,0.0,0.0,3.800000000000025,349.7,560.0,560.0,4229.008000000001,0.01479363,2024-07
48,48,IOTAUSDT,,Api-hs1,,,,,2024-07-13 07:48:04,0.00999426,0.3758,-0.3006,0.2661,2024-07-13 07:52:41,0.2654,0 days 00:04:37,SHORT,0.26,0.0,0.0,3.999999999999986,353.7,7880.0,7880.0,4188.219999999999,0.01466704,2024-07
49,49,DARUSDT,,Api-hs1,,,,,2024-07-13 08:00:07,0.10001537,0.0,0.0,0.15321937,2024-07-13 08:00:47,0.15229996,0 days 00:00:40,SHORT,0.6,0.05,0.0,106.89999999999998,460.6,136950.0,136950.0,41840.872722,0.19045454,2024-07
